Genename,ORF,beta
CHL1,YPL008W,-0.236649522
CPR7,YJR032W,-0.236540384
DIA3,YDL024C,-0.236443968
YNL022C,YNL022C,-0.23630017
YDL233W,YDL233W,-0.236167397
FCJ1,FCJ1,-0.236095086
RAM1,YDL090C,-0.236003196
DST1,YGL043W,-0.2359918
YMC1,YPR058W,-0.235984195
RPL9B,YNL067W,-0.235936197
SLD2,YKL108W,-0.235705457
YOS1,YER074W-A,-0.235555028
CUS1,YMR240C,-0.235530144
RPL14A,YKL006W,-0.235454799
PPR1,YLR014C,-0.235439555
MET12,YPL023C,-0.235417996
SEN15,YMR059W,-0.235401086
MED6,YHR058C,-0.235057132
CAF16,YFL028C,-0.234864834
PZF1,YPR186C,-0.234797686
ARO2,YGL148W,-0.234599515
CSM1,YCR086W,-0.234531146
SUL2,YLR092W,-0.234473195
MDM36,YPR083W,-0.234390949
LHP1,YDL051W,-0.234248535
PEX7,YDR142C,-0.234199528
FUR4,YBR021W,-0.234154612
FET5,YFL041W,-0.234121398
OST6,YML019W,-0.234116674
DIE2,YGR227W,-0.234079748
SUV3,YPL029W,-0.23407931
YOL019W,YOL019W,-0.234037805
NAM8,YHR086W,-0.233956408
TOS1,YBR162C,-0.233942803
AIM22,YJL046W,-0.233749208
ERO1,YML130C,-0.233727934
PFD1,YJL179W,-0.233665285
MEF2,YJL102W,-0.233534435
FRS1,YLR060W,-0.233431755
GCD2,YGR083C,-0.233316511
RPS14A,YCR031C,-0.233065924
TIM44,YIL022W,-0.232888214
TMN3,YER113C,-0.232881137
IFM1,YOL023W,-0.232531785
SMP1,YBR182C,-0.232455233
RPL18A,YOL120C,-0.232294823
YGR207C,YGR207C,-0.232218113
YBR190W,YBR190W,-0.232202961
RPS9A,YPL081W,-0.232100751
RPS11B,YBR048W,-0.232080691
CBT1,YKL208W,-0.231898508
OGG1,YML060W,-0.231724983
RPL5,YPL131W,-0.23164444
SFT2,YBL102W,-0.231640724
NPY1,YGL067W,-0.231576399
KSH1,YNL024C-A,-0.231458041
SMM1,YNR015W,-0.231427964
OMS1,YDR316W,-0.231427064
MRPS18,YNL306W,-0.231313892
AIM33,YML087C,-0.230991854
KIC1,YHR102W,-0.230925261
AGA1,YNR044W,-0.230900751
MVD1,YNR043W,-0.230863304
YNR040W,YNR040W,-0.230658539
GWT1,YJL091C,-0.230352316
CHS7,YHR142W,-0.23033327
TEM1,YML064C,-0.230267674
JLP2,YMR132C,-0.230246732
YCG1,YDR325W,-0.230114565
ABM1,YJR108W,-0.230050472
PPT1,YGR123C,-0.229975223
MKK2,YPL140C,-0.229750496
RPS14B,YJL191W,-0.229690372
SDH2,YLL041C,-0.229453123
RPL16B,YNL069C,-0.22930199
RPL9A,YGL147C,-0.229299011
YBR056W-A,YBR056W-A,-0.229296895
DCD1,YHR144C,-0.229261404
YRF1-7,YPL283C,-0.229191658
RPL7B,YPL198W,-0.229112362
DUT1,YBR252W,-0.229095483
UTP15,YMR093W,-0.22890042
AIM32,YML050W,-0.22885264
CPT1,YNL130C,-0.228803254
MIS1,YBR084W,-0.228757084
YBR074W,YBR074W,-0.22871617
SSB2,YNL209W,-0.228670892
GAS2,YLR343W,-0.228649087
YOR059C,YOR059C,-0.228562104
SEC26,YDR238C,-0.228552256
YFR045W,YFR045W,-0.228447507
MSF1,YPR047W,-0.228388353
ATP25,YMR098C,-0.228293128
SSU72,YNL222W,-0.228105312
STU2,YLR045C,-0.228040974
RPL27B,YDR471W,-0.227970415
GRC3,YLL035W,-0.227731873
RFA2,YNL312W,-0.22767288
PEX6,YNL329C,-0.227667589
DLD2,YDL178W,-0.227642326
ERP2,YAL007C,-0.227456096
RPL2A,YFR031C-A,-0.22724504
FKH2,YNL068C,-0.226883871
FKS1,YLR342W,-0.226835741
RPL31B,YLR406C,-0.22683245
YDL157C,YDL157C,-0.226727548
MNT2,YGL257C,-0.226636318
YBR259W,YBR259W,-0.226557968
YDR161W,YDR161W,-0.22629897
SSU1,YPL092W,-0.226219745
AIM6,YDL237W,-0.22619758
FAR8,YMR029C,-0.226134362
SEN54,YPL083C,-0.226098329
COP1,YDL145C,-0.226060693
NAM9,YNL137C,-0.226055759
YOR300W,YOR300W,-0.226002413
MF(ALPHA)1,YPL187W,-0.225933857
MRP4,YHL004W,-0.225915936
YLR057W,YLR057W,-0.225803309
RIT1,YMR283C,-0.225795772
MBA1,YBR185C,-0.225562268
DAL2,YIR029W,-0.225450827
YPR170W-A,YPR170W-A,-0.225446356
SME1,YOR159C,-0.225384366
APC1,YNL172W,-0.225327486
SEC24,YIL109C,-0.225166434
DPH1,YIL103W,-0.225020491
MRS2,YOR334W,-0.224998099
RPS10B,YMR230W,-0.224990765
RIO2,YNL207W,-0.224990019
ORM1,YGR038W,-0.224924426
BAT1,YHR208W,-0.22491469
YER184C,YER184C,-0.224841488
VHT1,YGR065C,-0.224825403
YLR211C,YLR211C,-0.224760876
MST1,YKL194C,-0.224619932
RPS13,YDR064W,-0.224468149
CRH1,YGR189C,-0.224380483
TUB1,YML085C,-0.224363593
WSC4,YHL028W,-0.22436313
CWC2,YDL209C,-0.224258451
STB1,YNL309W,-0.224257827
UPS2,YLR168C,-0.224039001
MSC6,YOR354C,-0.223995272
MRI1,YPR118W,-0.223980337
AXL1,YPR122W,-0.223971567
ESC8,YOL017W,-0.223887186
RFU1,YLR073C,-0.223852089
YPR145C-A,YPR145C-A,-0.223818902
ITR2,YOL103W,-0.223805436
RPO31,YOR116C,-0.22375974
RPL1B,YGL135W,-0.223717624
YGR168C,YGR168C,-0.223639282
CTR3,YLR411W,-0.223630056
YRO2,YBR054W,-0.223582544
UME1,YPL139C,-0.22352947
YBL081W,YBL081W,-0.223464392
MRPS9,YBR146W,-0.223408619
ATG7,YHR171W,-0.223387722
RPC31,YNL151C,-0.223349586
SEC14,YMR079W,-0.223342942
TIM8,YJR135W-A,-0.223229029
COQ8,YGL119W,-0.223210844
MRPL11,YDL202W,-0.223204492
RPS8A,YBL072C,-0.223051749
DPM1,YPR183W,-0.223029465
YGR122C-A,YGR122C-A,-0.222921333
MET13,YGL125W,-0.222856189
RPS0A,YGR214W,-0.222624863
VPS30,YPL120W,-0.222548662
STE7,YDL159W,-0.222532011
SAM3,YPL274W,-0.222477972
YLR243W,YLR243W,-0.222394962
RPS24A,YER074W,-0.22223651
YDR348C,YDR348C,-0.22222912
YIP5,YGL161C,-0.222225868
MSB4,YOL112W,-0.222218094
INP52,YNL106C,-0.222011538
MNE1,YOR350C,-0.221942863
YLR342W-A,YLR342W-A,-0.221867824
LST4,YKL176C,-0.221746197
BNS1,YGR230W,-0.221664212
GLO2,YDR272W,-0.221601438
MAK16,YAL025C,-0.221554182
LIP2,YLR239C,-0.221395605
RPS4B,YHR203C,-0.221393252
SSB1,YDL229W,-0.221360311
RPS25B,YLR333C,-0.22132482
FRS2,YFL022C,-0.221293884
ECM29,YHL030W,-0.221151695
URK1,YNR012W,-0.221148509
FUN30,YAL019W,-0.221012418
YCF1,YDR135C,-0.220944649
GDA1,YEL042W,-0.220907142
MRPL50,YNR022C,-0.220763188
YOR389W,YOR389W,-0.220708915
MRPL17,YNL252C,-0.220594996
MRPS35,YGR165W,-0.22057655
YDR338C,YDR338C,-0.22055741
UTP6,YDR449C,-0.220551783
SAM50,YNL026W,-0.220551659
YFR036W-A,YFR036W-A,-0.220435981
CIC1,YHR052W,-0.220423841
YNL247W,YNL247W,-0.220422998
PIF1,YML061C,-0.220421237
CDA1,YLR307W,-0.220382478
YVH1,YIR026C,-0.220366739
COQ1,YBR003W,-0.220355776
RPL25,YOL127W,-0.220344605
YLR455W,YLR455W,-0.220311565
MRPL9,YGR220C,-0.220218105
IMD4,YML056C,-0.220185335
FDC1,YDR539W,-0.220116964
YNL011C,YNL011C,-0.219941018
YLR413W,YLR413W,-0.219934418
RPS8B,YER102W,-0.219880196
RCL1,YOL010W,-0.219790552
CTF3,YLR381W,-0.219760959
MIP6,YHR015W,-0.219624673
RPS27B,YHR021C,-0.219555777
TRF5,YNL299W,-0.219489812
PRO1,YDR300C,-0.21948545
SEY1,YOR165W,-0.21938302
AGA2,YGL032C,-0.219346314
AVO2,YMR068W,-0.219329823
MIR1,YJR077C,-0.219300443
YIF1,YNL263C,-0.219214492
YOR248W,YOR248W,-0.219169071
TOA2,YKL058W,-0.219162226
TRM10,YOL093W,-0.219158047
SRL1,YOR247W,-0.219081232
TMA19,YKL056C,-0.219009919
RPS4A,YJR145C,-0.218705241
SPE3,YPR069C,-0.218696294
GCN1,YGL195W,-0.21868505
ASI1,YMR119W,-0.218640808
VBA2,YBR293W,-0.218605717
RTT10,YPL183C,-0.218447085
SNF12,YNR023W,-0.218242026
TRL1,YJL087C,-0.218169374
SPC3,YLR066W,-0.218134674
RPL17B,YJL177W,-0.218083802
PAN5,YHR063C,-0.217918126
MET17,YLR303W,-0.217883925
PIM1,YBL022C,-0.217861801
PHO3,YBR092C,-0.217794069
NUC1,YJL208C,-0.217694667
ESS1,YJR017C,-0.217691116
MAK11,YKL021C,-0.217471604
ORC5,YNL261W,-0.217354342
YPR174C,YPR174C,-0.217328839
YGL242C,YGL242C,-0.217303396
RPL30,YGL030W,-0.217212536
CAT8,YMR280C,-0.217039113
TOM20,YGR082W,-0.217024314
LCL2,YLR104W,-0.216949534
ARX1,YDR101C,-0.216873616
MTF1,YMR228W,-0.216675291
MRPS8,YMR158W,-0.216673988
RPL12A,YEL054C,-0.216671604
YBR219C,YBR219C,-0.2166436
RPS6B,YBR181C,-0.216473246
ITT1,YML068W,-0.216402091
YIL096C,YIL096C,-0.21633523
PEA2,YER149C,-0.216320395
FIR1,YER032W,-0.216297848
NIP1,YMR309C,-0.216266424
ARV1,YLR242C,-0.21620937
SPB1,YCL054W,-0.21618964
RPG1,YBR079C,-0.216086489
YIL080W,YIL080W,-0.215992471
DUO1,YGL061C,-0.215908767
MRT4,YKL009W,-0.215784925
PIN2,YOR104W,-0.215755775
RGA1,YOR127W,-0.215742894
MED8,YBR193C,-0.215713555
FCY2,YER056C,-0.215711944
TOM40,YMR203W,-0.215602914
