Genename,identifier
YDR248C,902
YDR249C,903
YDR250C,904
PAM1,905
BTT1,906
MET32,907
CHL4,908
RMD5,909
CTA1,910
RKM4,911
HSP78,912
YAP6,913
SWM1,914
EXG2,915
YDR262W,916
DIN7,917
AKR1,918
PEX10,919
HEL2,920
CIA1,921
MSW1,922
YDR269C,923
CCC2,924
YDR271C,925
GLO2,926
DON1,927
YDR274C,928
BSC2,929
PMP3,930
MTH1,931
YDR278C,932
RNH202,933
RRP45,934
PHM6,935
MRX10,936
GCN2,937
DPP1,938
ZIP1,939
MGP12,940
INM2,941
NSE3,942
RTT103,943
YDR290W,944
HRQ1,945
SRP101,946
SSD1,947
DPL1,948
HDA2,949
MHR1,950
SUR2,951
ATP5,952
BFR2,953
PRO1,954
CFT1,955
GPI11,956
RSC3,957
CPR5,958
HNT2,959
YDR306C,960
PMT7,961
SRB7,962
GIC2,963
SUM1,964
TFB1,965
SSF2,966
PIB1,967
RAD34,968
IPK1,969
OMS1,970
HIM1,971
MCM21,972
YFT2,973
SWA2,974
DAD4,975
ASP1,976
MRPL35,977
TIM11,978
PEP7,979
UTP4,980
YCG1,981
YSP2,982
YDR327W,983
SKP1,984
PEX3,985
UBX5,986
GPI8,987
IRC3,988
RQC1,989
SWR1,990
MSN5,991
MRX8,992
MRPS28,993
YDR338C,994
FCF1,995
YDR340W,996
YDR341C,997
HXT7,998
HXT6,999
YDR344C,1000
HXT3,1001
SVF1,1002
MRP1,1003
PAL1,1004
YPS7,1005
ATP22,1006
SBE2,1007
YPQ2,1008
TRR1,1009
TRP4,1010
YDR355C,1011
SPC110,1012
CNL1,1013
GGA1,1014
EAF1,1015
YDR360W,1016
BCP1,1017
TFC6,1018
ESC2,1019
SEM1,1020
CDC40,1021
ESF1,1022
YDR366C,1023
KEI1,1024
YPR1,1025
XRS2,1026
DXO1,1027
CTS2,1028
VPS74,1029
FRQ1,1030
PHO92,1031
BCS1,1032
ARH1,1033
ATP17,1034
LSM6,1035
RGA2,1036
SDH6,1037
ARO10,1038
YRA1,1039
COI1,1040
RPP2B,1041
NKP1,1042
ATO3,1043
EFT2,1044
MUS81,1045
CIN10,1046
RVS167,1047
SAC7,1048
UBA2,1049
YDR391C,1050
SPT3,1051
SHE9,1052
RPT3,1053
SXM1,1054
YDR396W,1055
NCB2,1056
UTP5,1057
HPT1,1058
URH1,1059
YDR401W,1060
DIT2,1061
DIT1,1062
RPB7,1063
MRP20,1064
PDR15,1065
TRS120,1066
ADE8,1067
SIZ1,1068
STE14,1069
DFM1,1070
RRP17,1071
YDR413C,1072
ERD1,1073
YDR415C,1074
SYF1,1075
YDR417C,1076
RPL12B,1077
RAD30,1078
HKR1,1079
ARO80,1080
SIP1,1081
CAD1,1082
DYN2,1083
SNX41,1084
YDR426C,1085
RPN9,1086
BNA7,1087
TIF35,1088
CYM1,1089
YDR431W,1090
NPL3,1091
YDR433W,1092
GPI17,1093
PPM1,1094
PPZ2,1095
GPI19,1096
THI74,1097
LRS4,1098
DOT1,1099
APT2,1100
YDR442W,1101
SSN2,1102
YDR444W,1103
YDR445C,1104
ECM11,1105
RPS17B,1106
ADA2,1107
UTP6,1108
